surname,ids,gender,age_bin,geography,creditscore,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,churn_prediction,churn_score
Fancher,17706-15568915,Male,60+,Spain,663,63,7,152085.88,1,1.0,1.0,74850.94,0,0.14394313
Chukwudi,147744-15718280,Male,18-25,Germany,526,24,8,106397.75,1,1.0,1.0,153046.16,0,0.13178085
Dyer,148255-15663478,Male,36-45,Spain,730,38,6,132578.51,1,0.0,0.0,83700.24,0,0.14069106
Riddle,93805-15753521,Male,26-35,France,835,33,9,0.0,2,1.0,0.0,187597.15,0,0.01927742
Onyemachukwu,29527-15731781,Male,36-45,France,486,43,7,0.0,2,0.0,0.0,178393.68,0,0.12424525
Ferri,159524-15665416,Male,36-45,France,719,37,1,0.0,2,1.0,0.0,173617.09,0,0.023984712
Dike,3305-15779914,Female,26-35,France,684,33,5,0.0,2,1.0,0.0,157959.83,0,0.031308375
Chukwuemeka,60248-15739189,Female,36-45,Germany,538,45,7,120549.29,1,1.0,0.0,96833.0,1,0.82343674
Hung,101181-15625021,Male,36-45,France,731,40,2,0.0,2,1.0,1.0,18657.77,0,0.018562416
Allan,44544-15632472,Male,36-45,France,707,36,2,0.0,2,0.0,1.0,180345.44,0,0.016890492
Onyekachukwu,34349-15790810,Female,36-45,Germany,729,45,1,160903.2,1,1.0,0.0,171768.76,1,0.77730256
Lucchesi,149453-15736287,Male,36-45,France,773,37,2,0.0,2,0.0,0.0,88728.47,0,0.029665211
Ting,18739-15591711,Male,36-45,France,677,40,7,0.0,2,0.0,1.0,171706.66,0,0.023268683
Hsia,96560-15598521,Male,18-25,Germany,651,23,7,171646.76,1,1.0,1.0,7278.57,0,0.09720175
Ch'en,159810-15603747,Male,36-45,Germany,583,36,8,147731.64,2,0.0,1.0,143982.34,0,0.050458148
O'Donnell,40957-15590094,Male,36-45,France,488,37,9,0.0,2,1.0,0.0,119918.86,0,0.027479501
Ngozichukwuka,155749-15575025,Male,36-45,France,535,38,2,139959.39,1,0.0,0.0,121151.12,0,0.16928539
Fraser,16074-15675141,Female,26-35,France,569,35,9,93934.63,1,0.0,0.0,184748.23,0,0.2732731
Hsia,32927-15634968,Male,26-35,France,815,28,2,122908.88,1,0.0,0.0,161578.28,0,0.12214796
Hs?,57062-15633586,Female,36-45,Spain,582,40,2,0.0,2,1.0,1.0,114522.68,0,0.029069578
Ts'ao,52152-15723720,Male,26-35,France,697,32,9,0.0,2,1.0,1.0,166031.08,0,0.0072500547
Lucchesi,54144-15772381,Male,36-45,France,632,42,4,0.0,2,1.0,1.0,43415.79,0,0.021593133
Azikiwe,23125-15656062,Female,26-35,France,637,33,7,103377.81,2,1.0,0.0,84419.78,0,0.0790153
Piazza,13019-15770039,Female,36-45,France,691,41,9,0.0,3,1.0,0.0,182566.76,1,0.8826638
Harewood,50891-15683618,Female,46-60,France,682,55,3,129548.5,2,1.0,0.0,153356.8,1,0.6891792
T'ien,93304-15691703,Male,26-35,France,581,32,8,0.0,1,1.0,1.0,175071.29,0,0.08581198
Nnanna,70743-15765093,Male,36-45,France,684,42,8,141441.75,3,1.0,0.0,131389.39,1,0.88494503
Bibi,99231-15730447,Male,26-35,France,592,32,2,0.0,2,1.0,0.0,172814.84,0,0.016777795
Teng,134646-15704770,Female,26-35,France,611,35,6,0.0,2,1.0,1.0,129964.14,0,0.015917398
Bidwill,30136-15583863,Male,26-35,Germany,576,30,9,132174.41,1,0.0,1.0,93767.03,0,0.116056986
Hayslett,58916-15650575,Female,36-45,Spain,679,36,4,142387.31,1,0.0,1.0,121840.2,0,0.11233317
Palerma,67063-15601012,Female,36-45,Spain,662,43,2,0.0,2,1.0,0.0,146750.82,0,0.16384551
Udegbulam,107018-15730137,Male,26-35,France,662,31,9,88421.81,1,0.0,0.0,72350.47,0,0.088693544
Hsueh,138330-15800229,Female,36-45,Germany,648,38,7,151709.33,1,1.0,1.0,180844.81,0,0.27587008
Hsia,147826-15781298,Female,26-35,Germany,738,35,4,127157.61,1,1.0,1.0,74800.99,0,0.20752434
Nwokezuike,39246-15593470,Female,36-45,France,709,44,7,0.0,1,1.0,0.0,118036.93,1,0.7339386
Tsao,39351-15779985,Female,26-35,France,594,28,10,0.0,1,0.0,1.0,100717.54,0,0.17180298
Rowntree,138032-15672397,Female,36-45,Spain,850,43,8,0.0,2,0.0,0.0,73883.61,0,0.15840548
Davis,163299-15662238,Female,36-45,France,822,37,3,105563.0,1,1.0,0.0,182624.93,0,0.26495233
Ting,97011-15605020,Male,36-45,France,496,39,5,0.0,2,1.0,0.0,90162.35,0,0.03444626
Udinesi,121968-15638247,Male,36-45,France,682,41,9,0.0,2,1.0,1.0,164064.5,0,0.016623918
Moseley,102364-15747649,Female,26-35,France,616,31,7,0.0,2,1.0,0.0,92748.56,0,0.029088689
Milanesi,97824-15771855,Male,26-35,France,727,32,7,0.0,2,1.0,0.0,163911.32,0,0.014228497
Macleod,95772-15766047,Female,26-35,Spain,611,35,5,103772.49,1,1.0,0.0,111868.23,0,0.21586214
T'ien,96286-15664668,Male,36-45,France,670,40,3,0.0,2,0.0,0.0,160968.44,0,0.048617616
Pagnotto,164240-15570051,Female,36-45,France,531,39,5,106573.15,1,1.0,0.0,101954.95,0,0.32008028
Bergamaschi,82112-15631189,Male,36-45,France,631,38,8,0.0,2,1.0,0.0,196342.66,0,0.026918247
Chiazagomekpere,63654-15780256,Female,26-35,France,676,31,3,62276.99,1,1.0,0.0,161642.08,0,0.16904695
Iadanza,23060-15672447,Male,36-45,Spain,681,37,7,0.0,2,1.0,0.0,31921.95,0,0.026676485
Ibezimako,12148-15651022,Female,36-45,Germany,678,36,2,137781.65,2,1.0,1.0,99818.41,0,0.05252076
Iloerika,73428-15629793,Male,26-35,France,650,27,3,0.0,1,0.0,1.0,125961.79,0,0.10548734
Wang,119326-15703541,Female,26-35,Germany,756,33,5,126674.81,2,0.0,0.0,124118.71,0,0.13327682
Calabresi,126722-15741554,Female,26-35,France,733,28,4,0.0,2,1.0,1.0,103787.28,0,0.015169603
Davide,90575-15732791,Male,26-35,Germany,641,32,6,122947.92,1,1.0,1.0,99154.86,0,0.0920136
Smith,7120-15673020,Male,60+,France,678,77,9,0.0,1,1.0,1.0,6795.61,0,0.091689244
Maclean,23282-15680399,Male,36-45,France,739,44,6,0.0,1,1.0,1.0,94544.88,0,0.30922073
Trevisani,26514-15603098,Female,36-45,Spain,634,41,4,0.0,1,1.0,1.0,65792.13,0,0.35825548
Meng,124336-15667085,Female,26-35,France,667,29,4,0.0,1,1.0,0.0,131834.75,0,0.25729194
